Event	ID	Name			Wwise Object Path	Notes
	23186233	JaimeTired			\Player_01\Characters\Jaime\JaimeTired	
	45876787	TheonImpact			\Player_01\Characters\Theon\TheonImpact	
	48383132	Chain			\Scene\Puzzle\Chain	
	202441241	Enemy2_Hurt			\Scene\Enemies\Enemy2_Hurt	
	222867808	Enemy3_Slash			\Scene\Enemies\Enemy3_Slash	
	278201357	DaenerysDragonRoar			\Player_01\Characters\Daenerys\DaenerysDragonRoar	
	299504778	JaimeImpactStone			\Player_01\Characters\Jaime\JaimeImpactStone	
	342573290	DaenerysTired			\Player_01\Characters\Daenerys\DaenerysTired	
	417627684	PlayMusic			\Scene\PlayMusic	
	425234550	TheonMele			\Player_01\Characters\Theon\TheonMele	
	461797665	DaenerysFireballImpact			\Player_01\Characters\Daenerys\DaenerysFireballImpact	
	540308745	Enemy2_Slash			\Scene\Enemies\Enemy2_Slash	
	622126552	Enemy_Chase			\Scene\Enemies\Enemy_Chase	
	777507535	WaterSplash			\Scene\Puzzle\WaterSplash	
	837900871	TheonDead			\Player_01\Characters\Theon\TheonDead	
	846696053	Enemy3_ShieldHit			\Scene\Enemies\Enemy3_ShieldHit	
	916833145	Enemy1_Dead			\Scene\Enemies\Enemy1_Dead	
	1165032804	DaenerysFire			\Player_01\Characters\Daenerys\DaenerysFire	
	1181117825	PlayAmbient			\Scene\PlayAmbient	
	1242499422	SwitchOn			\Scene\Puzzle\SwitchOn	
	1251584733	Enemy1_SwordClash			\Scene\Enemies\Enemy1_SwordClash	
	1287847765	MetalClash			\Scene\MetalClash	
	1288949937	TheonBreathing			\Player_01\Characters\Theon\TheonBreathing	
	1296876930	DaenerysDead			\Player_01\Characters\Daenerys\DaenerysDead	
	1489596707	DaenerysHurt			\Player_01\Characters\Daenerys\DaenerysHurt	
	1503597272	StartPuzzleCountdown			\Scene\Puzzle\StartPuzzleCountdown	
	1522974588	Enemy_Patrol			\Scene\Enemies\Enemy_Patrol	
	1566564139	SwordHit			\Scene\SwordHit	
	1759595795	JaimeWarCry			\Player_01\Characters\Jaime\JaimeWarCry	
	1916661861	TheonTripleShot			\Player_01\Characters\Theon\TheonTripleShot	
	1987237454	Enemy_Flesh_Hit			\Scene\Enemies\Enemy_Flesh_Hit	
	2159928993	TheonMeleHit			\Player_01\Characters\Theon\TheonMeleHit	
	2179486487	HeartBeat			\Player_01\HeartBeat	
	2385628198	Footsteps			\Scene\Footsteps	
	2435509993	Enemy3_ShieldBlock			\Scene\Enemies\Enemy3_ShieldBlock	
	2469070767	DoorLoop			\Scene\Puzzle\DoorLoop	
	2503704488	BarrelSinking			\Scene\Puzzle\BarrelSinking	
	2665825462	CrossbowRecharge			\Player_01\Characters\Theon\CrossbowRecharge	
	2666752652	DoorEnd			\Scene\Puzzle\DoorEnd	
	2682992486	JaimeHurt			\Player_01\Characters\Jaime\JaimeHurt	
	2782712987	Lever			\Scene\Puzzle\Lever	
	2944574497	TheonTired			\Player_01\Characters\Theon\TheonTired	
	3035439363	PlayTorch			\Scene\PlayTorch	
	3113731383	SwordSlash			\Scene\SwordSlash	
	3176015810	Enemy1_Slash			\Scene\Enemies\Enemy1_Slash	
	3224688943	JaimeFailImpact			\Player_01\Characters\Jaime\JaimeFailImpact	
	3240900869	ResumeAll			\Default Work Unit\ResumeAll	
	3412427529	TheonRope			\Player_01\Characters\Theon\TheonRope	
	3434500843	Enemy_SwordDraw			\Scene\Enemies\Enemy_SwordDraw	
	3461881315	Enemy3_Dead			\Scene\Enemies\Enemy3_Dead	
	3519619633	CrossbowShot			\Player_01\Characters\Theon\CrossbowShot	
	3525158975	JaimeDead			\Player_01\Characters\Jaime\JaimeDead	
	3535166590	Enemy_SwordDrop			\Scene\Enemies\Enemy_SwordDrop	
	3599404043	JaimeImpact			\Player_01\Characters\Jaime\JaimeImpact	
	3627978879	RopeCut			\Scene\Puzzle\RopeCut	
	3712468846	Dracarys			\Player_01\Characters\Daenerys\Dracarys	
	3732314562	DaenerysBreathing			\Player_01\Characters\Daenerys\DaenerysBreathing	
	3836375561	TheonMeleShout			\Player_01\Characters\Theon\TheonMeleShout	
	3907652009	JaimeBreathing			\Player_01\Characters\Jaime\JaimeBreathing	
	3953897988	SwitchOff			\Scene\Puzzle\SwitchOff	
	3969506851	DaenerysWalk			\Player_01\Characters\Daenerys\DaenerysWalk	
	3974846078	TheonHurt			\Player_01\Characters\Theon\TheonHurt	
	4028347596	Enemy1_Hurt			\Scene\Enemies\Enemy1_Hurt	
	4091047182	PauseAll			\Default Work Unit\PauseAll	
	4111352050	Enemy3_Hurt			\Scene\Enemies\Enemy3_Hurt	
	4117129356	Enemy2_Dead			\Scene\Enemies\Enemy2_Dead	
	4134768252	JaimeBlock			\Player_01\Characters\Jaime\JaimeBlock	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	46166543	Enemy_SpearSwing	E:\Repos\AudioWwiseProject\Proyecto3\.cache\Windows\SFX\Enemy_SpearSwing_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Enemy2\Enemy_SpearSwing		44164
	74496819	Theon_MeleeHit	E:\Repos\AudioWwiseProject\Proyecto3\.cache\Windows\SFX\Theon_MeleeHit_1C9C67B2.wem		\Actor-Mixer Hierarchy\Player_01\Characters\Theon\Theon_MeleeHit		123544
	77924659	Daennerys_FlameLoop	E:\Repos\AudioWwiseProject\Proyecto3\.cache\Windows\SFX\Daennerys_FlameLoop_1C9C67B2.wem		\Actor-Mixer Hierarchy\Player_01\Characters\Daenerys\Daennerys_FlameLoop		1874080
	81794340	Sword_Impact_Stone	E:\Repos\AudioWwiseProject\Proyecto3\.cache\Windows\SFX\Sword_Impact_Stone_1C9C67B2.wem		\Actor-Mixer Hierarchy\Player_01\Characters\Jaime\Sword_Impact_Stone		182108
	89926475	Theon_MeleeShout	E:\Repos\AudioWwiseProject\Proyecto3\.cache\Windows\SFX\Theon_MeleeShout_1C9C67B2.wem		\Actor-Mixer Hierarchy\Player_01\Characters\Theon\Theon_MeleeShout		87384
	95151264	Enemy_ShieldBlock	E:\Repos\AudioWwiseProject\Proyecto3\.cache\Windows\SFX\Enemy_ShieldBlock_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Enemy3\Enemy_ShieldBlock		186320
	99695251	Daennerys_Desperately_Breathing	E:\Repos\AudioWwiseProject\Proyecto3\.cache\Windows\SFX\Daennerys_Desperately_Breathing_1C9C67B2.wem		\Actor-Mixer Hierarchy\Player_01\Characters\Daenerys\Daennerys_Desperately_Breathing		563906
	100153174	Theon_Dead_2	E:\Repos\AudioWwiseProject\Proyecto3\.cache\Windows\SFX\Characters\Theon\Theon_Dead_2_EE628D5C.wem		\Actor-Mixer Hierarchy\Player_01\Characters\Theon\Theon_Dead\Theon_Dead_2		210384
	114820679	Daennerys_Hurt	E:\Repos\AudioWwiseProject\Proyecto3\.cache\Windows\SFX\Daennerys_Hurt_1C9C67B2.wem		\Actor-Mixer Hierarchy\Player_01\Characters\Daenerys\Daennerys_Hurt		180520
	116569670	WaterSplash_1	E:\Repos\AudioWwiseProject\Proyecto3\.cache\Windows\SFX\Puzzle\BarrelSplash_1F4389CB.wem		\Actor-Mixer Hierarchy\Default Work Unit\BarrelPuzzle\WaterSplash\WaterSplash_1		508364
	132180465	E2_Hurt_1	E:\Repos\AudioWwiseProject\Proyecto3\.cache\Windows\SFX\Enemy\Enemy_2\E2_Hurt_1_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Enemy2\Enemy2_Hurt\E2_Hurt_1		128188
	137727506	Jaime_Handblock	E:\Repos\AudioWwiseProject\Proyecto3\.cache\Windows\SFX\Jaime_Handblock_1C9C67B2.wem		\Actor-Mixer Hierarchy\Player_01\Characters\Jaime\Jaime_Handblock		167276
	141306871	RopeCut	E:\Repos\AudioWwiseProject\Proyecto3\.cache\Windows\SFX\Puzzle\Rope_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\BarrelPuzzle\RopeCut		188224
	141428708	Theon_Desperately_Breathing	E:\Repos\AudioWwiseProject\Proyecto3\.cache\Windows\SFX\Theon_Desperately_Breathing_1C9C67B2.wem		\Actor-Mixer Hierarchy\Player_01\Characters\Theon\Theon_Desperately_Breathing		599764
	153064777	Jaime_Hurt	E:\Repos\AudioWwiseProject\Proyecto3\.cache\Windows\SFX\Jaime_Hurt_1C9C67B2.wem		\Actor-Mixer Hierarchy\Player_01\Characters\Jaime\Jaime_Hurt		108680
	178260986	footstep_stone	E:\Repos\AudioWwiseProject\Proyecto3\.cache\Windows\SFX\Ambient\footstep_stone_C599367A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Stage\FootSepts_Stone\footstep_stone		33908
	191702901	Theon_TripleShot	E:\Repos\AudioWwiseProject\Proyecto3\.cache\Windows\SFX\Theon_TripleShot_1C9C67B2.wem		\Actor-Mixer Hierarchy\Player_01\Characters\Theon\Theon_TripleShot		123418
	195426196	Theon_Arrow_Impact_Wall	E:\Repos\AudioWwiseProject\Proyecto3\.cache\Windows\SFX\Arrow_Impact_Wall_1C9C67B2.wem		\Actor-Mixer Hierarchy\Player_01\Characters\Theon\Theon_Arrow_Impact_Wall		37080
	232669740	Enemy_SwordClash	E:\Repos\AudioWwiseProject\Proyecto3\.cache\Windows\SFX\Enemy_SwordClash_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Enemy1\Enemy_SwordClash		241128
